Department,Degree,Major and Degree,Fiscal Year,Count of Sheet1
CLAS,BGS,General Emphasis (BGS),2025,88
CLAS,BGS,General Emphasis (BGS),2024,92
CLAS,BGS,General Emphasis (BGS),2023,95
CLAS,BGS,General Emphasis (BGS),2022,68
CLAS,BGS,General Emphasis (BGS),2021,83
CLAS,BGS,General Emphasis (BGS),2020,52
CLAS,BGS,General Emphasis (BGS),2019,68
CLAS,BGS,General Emphasis (BGS),2018,63
CLAS,BGS,General Emphasis (BGS),2017,86
CLAS,BGS,General Emphasis (BGS),2016,70
CLAS,BGS,General Emphasis (BGS),2015,82
CLAS,BS,Contract (BS),2024,1
CLAS,BS,Contract (BS),2023,1
CLAS,BS,Contract (BS),2017,1
CLAS,BS,Contract (BS),2016,1
COMS,BA,Journalism (MULTBA),2025,1
COMS,BA,Journalism (BA),2025,7
COMS,BA,Communication - Organizational - Corporate (BA),2025,27
COMS,BA,Communication - Media Studies (BA),2025,24
COMS,BA,Advocacy and Public Communication (BA),2025,14
COMS,BA,Journalism (BA),2024,9
COMS,BA,Communication - Organizational - Corporate (BA),2024,21
COMS,BA,Communication - Media Studies (BA),2024,19
COMS,BA,Advocacy and Public Communication (BA),2024,10
COMS,BA,Journalism (BA),2023,11
COMS,BA,Communication - Organizational - Corporate (BA),2023,34
COMS,BA,Communication - Media Studies (BA),2023,27
COMS,BA,Advocacy and Public Communication (BA),2023,14
COMS,BA,Journalism (BA),2022,17
COMS,BA,Communication - Organizational - Corporate (BA),2022,36
COMS,BA,Communication - Media Studies (BA),2022,39
COMS,BA,Advocacy and Public Communication (BA),2022,14
COMS,BA,Journalism (BA),2021,13
COMS,BA,Communication - Organizational - Corporate (BA),2021,55
COMS,BA,Communication - Media Studies (BA),2021,37
COMS,BA,Advocacy and Public Communication (BA),2021,22
COMS,BA,Journalism (BA),2020,23
COMS,BA,Communication - Organizational - Corporate (BA),2020,62
COMS,BA,Communication - Media Studies (BA),2020,45
COMS,BA,Advocacy and Public Communication (BA),2020,24
COMS,BA,Journalism (BA),2019,23
COMS,BA,Communication - Organizational - Corporate (BA),2019,92
COMS,BA,Communication - Media Studies (BA),2019,47
COMS,BA,Advocacy and Public Communication (BA),2019,19
COMS,BA,Journalism (MULTBA),2018,1
COMS,BA,Journalism (BA),2018,34
COMS,BA,Communication - Organizational - Corporate (BA),2018,90
COMS,BA,Communication - Media Studies (BA),2018,39
COMS,BA,Advocacy and Public Communication (BA),2018,15
COMS,BA,Journalism (BA),2017,27
COMS,BA,Communication - Organizational - Corporate (MULTBA),2017,1
COMS,BA,Communication - Organizational - Corporate (BA),2017,113
COMS,BA,Communication - Media Studies (BA),2017,57
COMS,BA,Advocacy and Public Communication (BA),2017,23
COMS,BA,Journalism (BA),2016,35
COMS,BA,Communication - Organizational - Corporate (BA),2016,108
COMS,BA,Communication - Media Studies (BA),2016,64
COMS,BA,Advocacy and Public Communication (BA),2016,8
COMS,BA,Journalism (BA),2015,24
COMS,BA,Communication - Organizational - Corporate (BA),2015,103
COMS,BA,Communication - Media Studies (BA),2015,53
COMS,BA,Advocacy and Public Communication (BA),2015,10
COMS,BS,Journalism (BS),2025,2
COMS,BS,Communication - Organizational - Corporate (BS),2025,12
COMS,BS,Communication - Media Studies (BS),2025,7
COMS,BS,Advocacy and Public Communication (BS),2025,6
COMS,BS,Journalism (BS),2024,4
COMS,BS,Communication - Organizational - Corporate (BS),2024,6
COMS,BS,Communication - Media Studies (BS),2024,6
COMS,BS,Journalism (BS),2023,4
COMS,BS,Communication - Organizational - Corporate (BS),2023,8
COMS,BS,Communication - Media Studies (BS),2023,7
COMS,BS,Advocacy and Public Communication (BS),2023,5
COMS,BS,Journalism (BS),2022,2
COMS,BS,Communication - Organizational - Corporate (BS),2022,17
COMS,BS,Communication - Media Studies (BS),2022,7
COMS,BS,Advocacy and Public Communication (BS),2022,1
COMS,BS,Journalism (BS),2021,4
COMS,BS,Communication - Organizational - Corporate (BS),2021,29
COMS,BS,Communication - Media Studies (BS),2021,12
COMS,BS,Advocacy and Public Communication (BS),2021,5
COMS,BS,Journalism (BS),2020,5
COMS,BS,Communication - Organizational - Corporate (BS),2020,24
COMS,BS,Communication - Media Studies (BS),2020,7
COMS,BS,Advocacy and Public Communication (BS),2020,2
COMS,BS,Journalism (BS),2019,3
COMS,BS,Communication - Organizational - Corporate (BS),2019,17
COMS,BS,Communication - Media Studies (BS),2019,12
COMS,BS,Advocacy and Public Communication (BS),2019,5
COMS,BS,Journalism (BS),2018,4
COMS,BS,Communication - Organizational - Corporate (BS),2018,38
COMS,BS,Communication - Media Studies (BS),2018,14
COMS,BS,Advocacy and Public Communication (BS),2018,6
COMS,BS,Journalism (BS),2017,4
COMS,BS,Communication - Organizational - Corporate (BS),2017,35
COMS,BS,Communication - Media Studies (BS),2017,7
COMS,BS,Advocacy and Public Communication (BS),2017,1
COMS,BS,Journalism (BS),2016,3
COMS,BS,Communication - Organizational - Corporate (BS),2016,44
COMS,BS,Communication - Media Studies (BS),2016,11
COMS,BS,Advocacy and Public Communication (BS),2016,2
COMS,BS,Journalism (BS),2015,7
COMS,BS,Communication - Organizational - Corporate (BS),2015,56
COMS,BS,Communication - Media Studies (BS),2015,12
COMS,BS,Advocacy and Public Communication (BS),2015,4
COMS,MA,Communication Studies (MA),2025,9
COMS,MA,Communication Studies (MA),2024,11
COMS,MA,Communication Studies (MA),2023,8
COMS,MA,Communication Studies (MA),2022,4
COMS,MA,Communication Studies (MA),2021,14
COMS,MA,Communication Studies (MA),2020,8
COMS,MA,Communication Studies (MA),2019,9
COMS,MA,Communication Studies (MA),2018,9
COMS,MA,Communication Studies (MA),2017,14
COMS,MA,Communication Studies (MA),2016,14
COMS,MA,Communication Studies (MA),2015,17
COMS,MULTBA,Communication - Organizational - Corporate (MULTBA),2016,1
COMS,MULTBA,Journalism (MULTBA),2015,1
COMS,MULTSBA3,Rhetoric and Public Communication (MULTSBA3),2018,1
CSCI,BS,Computer Science: Software Development (MULTBS),2025,1
CSCI,BS,Computer Science - Software Development (BS),2025,106
CSCI,BS,Computer Science - Enterprise Software (BS),2025,16
CSCI,BS,Computer Science - Computational Software (BS),2025,16
CSCI,BS,Computer Science: Software Development (MULTBS),2024,1
CSCI,BS,Computer Science - Software Development (BS),2024,98
CSCI,BS,Computer Science - Enterprise Software (BS),2024,13
CSCI,BS,Computer Science - Computational Software (BS),2024,10
CSCI,BS,Computer Science - Software Development (BS),2023,84
CSCI,BS,Computer Science - Enterprise Software (BS),2023,15
CSCI,BS,Computer Science - Computational Software (MULTBS),2023,1
CSCI,BS,Computer Science - Computational Software (BS),2023,10
CSCI,BS,Computer Science: Software Development (MULTBS),2022,1
CSCI,BS,Computer Science - Software Development (BS),2022,97
CSCI,BS,Computer Science - Enterprise Software (BS),2022,24
CSCI,BS,Computer Science - Computational Software (BS),2022,10
CSCI,BS,Computer Science: Software Development (MULTBS),2021,2
CSCI,BS,Computer Science - Software Development (BS),2021,98
CSCI,BS,Computer Science - Enterprise Software (BS),2021,15
CSCI,BS,Computer Science - Computational Software (MULTBS),2021,1
CSCI,BS,Computer Science - Computational Software (BS),2021,12
CSCI,BS,Computer Science: Software Development (MULTBS),2020,1
CSCI,BS,Computer Science - Software Development (BS),2020,102
CSCI,BS,Computer Science - Enterprise Software (BS),2020,19
CSCI,BS,Computer Science - Computational Software (MULTBS),2020,1
CSCI,BS,Computer Science - Computational Software (BS),2020,11
CSCI,BS,Computer Science - Software Development (BS),2019,103
CSCI,BS,Computer Science - Enterprise Software (BS),2019,25
CSCI,BS,Computer Science - Computational Software (MULTBS),2019,1
CSCI,BS,Computer Science - Computational Software (BS),2019,21
CSCI,BS,Computer Science - Software Development (BS),2018,86
CSCI,BS,Computer Science - Enterprise Software (BS),2018,34
CSCI,BS,Computer Science - Computational Software (BS),2018,13
CSCI,BS,Computer Science - Software Development (BS),2017,69
CSCI,BS,Computer Science - Enterprise Software (BS),2017,30
CSCI,BS,Computer Science - Computational Software (BS),2017,15
CSCI,BS,Computer Science - Software Development (BS),2016,61
CSCI,BS,Computer Science - Enterprise Software (BS),2016,35
CSCI,BS,Computer Science - Computational Software (BS),2016,8
CSCI,BS,Computer Science - Software Development (BS),2015,44
CSCI,BS,Computer Science - Enterprise Software (BS),2015,27
CSCI,BS,Computer Science - Computational Software (BS),2015,8
CSCI,BS,Applied Management-Computer Science (BS),2015,1
CSCI,MS,Computer Science (MS),2025,74
CSCI,MS,Computer Science (MS),2024,110
CSCI,MS,Computer Science (MS),2023,60
CSCI,MS,Computer Science (MS),2022,37
CSCI,MS,Computer Science (MS),2021,42
CSCI,MS,Computer Science (MS),2020,65
CSCI,MS,Computer Science (MS),2019,72
CSCI,MS,Computer Science (MS),2018,101
CSCI,MS,Computer Science (MS),2017,102
CSCI,MS,Computer Science (MS),2016,144
CSCI,MS,Computer Science (MS),2015,124
CSCI,MULTBS,Computer Science - Computational Software (MULTBS),2015,1
CSCI,PHD,Computer Science (PHD),2025,1
CSCI,PHD,Computer Science (PHD),2024,1
CVPA,BA,Contract (BA),2023,1
CVPA,BA,Contract (BA),2022,6
CVPA,BA,Contract (BA),2021,2
CVPA,BA,Contract (BA),2020,3
CVPA,BA,Contract (BA),2019,2
CVPA,BA,Contract (BA),2018,4
CVPA,BA,Contract (BA),2017,1
CVPA,BA,Contract (BA),2016,2
CVPA,BA,Contract (BA),2015,3
CVPA,BGS,General Studies - Contract (BGS),2017,2
CVPA,BGS,General Studies - Contract (BGS),2016,1
CVPA,BGS,General Studies - Contract (BGS),2015,1
EAE,BS,Meteorology (BS),2025,15
EAE,BS,Geology - Geology (BS),2025,11
EAE,BS,Geology - Environmental Geosciences (BS),2025,2
EAE,BS,Geography (BS),2025,3
EAE,BS,"Earth, Atmosphere and Environment - Geospatial Systems (BS)",2025,3
EAE,BS,"Earth, Atmosphere and Environment - Earth and Planetary Science (BS)",2025,6
EAE,BS,Meteorology (BS),2024,11
EAE,BS,Geology - Geology (BS),2024,7
EAE,BS,Geology - Environmental Geosciences (BS),2024,1
EAE,BS,Geography (BS),2024,11
EAE,BS,"Earth, Atmosphere and Environment - Water and Soil Science (BS)",2024,1
EAE,BS,Meteorology (BS),2023,11
EAE,BS,Geology - Geology (BS),2023,6
EAE,BS,Geology - Environmental Geosciences (BS),2023,3
EAE,BS,Geography-Geomatics (BS),2023,1
EAE,BS,Geography (MULTBS),2023,1
EAE,BS,Geography (BS),2023,12
EAE,MS,Geology (MS),2025,2
EAE,MS,"Earth, Atmosphere and Environment (MS)",2025,4
EAE,MS,Geology (MS),2024,2
EAE,MS,Geography (MS),2024,4
EAE,MS,"Earth, Atmosphere and Environment (MS)",2024,1
EAE,MS,Geology (MS),2023,8
EAE,MS,Geography (MS),2023,3
EAE,PHD,Geology (PHD),2025,2
EAE,PHD,Geography (PHD),2025,1
EAE,PHD,"Earth, Atmosphere and Environment (PHD)",2025,1
EAE,PHD,Geology (PHD),2024,2
EAE,PHD,Geography (PHD),2024,3
ECON,BA,Economics (BA),2025,10
ECON,BA,Economics (BA),2024,2
ECON,BA,Economics (BA),2023,3
ECON,BA,Economics (BA),2022,9
ECON,BA,Economics (MULTBA),2021,1
ECON,BA,Economics (BA),2021,5
ECON,BA,Economics (BA),2020,10
ECON,BA,Economics (MULTBA),2019,1
ECON,BA,Economics (BA),2019,9
ECON,BA,Economics (MULTBA),2018,1
ECON,BA,Economics (BA),2018,10
ECON,BA,Economics (MULTBA),2017,1
ECON,BA,Economics (BA),2017,11
ECON,BA,Economics (BA),2016,11
ECON,BA,Economics (BA),2015,13
ECON,BS,Economics: Financial Economics (BS),2025,3
ECON,BS,Economics (BS),2025,9
ECON,BS,Economics: Financial Economics (BS),2024,1
ECON,BS,Economics (BS),2024,16
ECON,BS,Economics (BS),2023,13
ECON,BS,Economics: Financial Economics (BS),2022,1
ECON,BS,Economics (MULTBS),2022,1
ECON,BS,Economics (BS),2022,17
ECON,BS,Economics: Financial Economics (MULTBS),2021,1
ECON,BS,Economics (BS),2021,12
ECON,BS,Economics (BS),2020,14
ECON,BS,Economics: Financial Economics (BS),2019,1
ECON,BS,Economics (BS),2019,25
ECON,BS,Economics (MULTBS),2018,2
ECON,BS,Economics (BS),2018,32
ECON,BS,Economics (MULTBS),2017,2
ECON,BS,Economics (BS),2017,38
ECON,BS,Economics (BS),2016,51
ECON,BS,Economics (BS),2015,56
ECON,MA,Economics (MA),2025,2
ECON,MA,Economics (MA),2024,5
ECON,MA,Economics (MA),2023,2
ECON,MA,Economics (MA),2022,4
ECON,MA,Economics (MA),2021,3
ECON,MA,Economics (MA),2020,4
ECON,MA,Economics (MA),2019,8
ECON,MA,Economics (MA),2018,5
ECON,MA,Economics (MA),2017,3
ECON,MA,Economics (MA),2016,5
ECON,MA,Economics (MA),2015,4
ECON,MULTBA,Economics (MULTBA),2016,1
ECON,MULTBS,Economics (MULTBS),2016,3
ECON,PHD,Economics (PHD),2025,3
ECON,PHD,Economics (PHD),2024,2
ECON,PHD,Economics (PHD),2023,1
ECON,PHD,Economics (PHD),2022,3
ECON,PHD,Economics (PHD),2021,5
ECON,PHD,Economics (PHD),2020,2
ECON,PHD,Economics (PHD),2019,5
ECON,PHD,Economics (PHD),2018,5
ECON,PHD,Economics (PHD),2017,4
ECON,PHD,Economics (PHD),2016,4
ECON,PHD,Economics (PHD),2015,4
ELE,BS,Electrical Engineering (BS),2025,42
ELE,BS,Electrical Engineering (BS),2024,41
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2023,1
ELE,BS,Electrical Engineering (MULTBS),2023,1
ELE,BS,Electrical Engineering (BS),2023,40
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2022,2
ELE,BS,Electrical Engineering (BS),2022,35
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2021,5
ELE,BS,Electrical Engineering (BS),2021,61
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2020,9
ELE,BS,Electrical Engineering (BS),2020,81
ELE,BS,Biomedical Engineering (BS),2020,2
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2019,20
ELE,BS,Electrical Engineering (MULTBS),2019,1
ELE,BS,Electrical Engineering (BS),2019,61
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2018,10
ELE,BS,Electrical Engineering (BS),2018,65
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2017,13
ELE,BS,Electrical Engineering (BS),2017,51
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2016,9
ELE,BS,Electrical Engineering (BS),2016,61
ELE,BS,Electrical Engineering: Biomedical Engineering (BS),2015,7
ELE,BS,Electrical Engineering (BS),2015,38
ELE,MS,Electrical Engineering (MS),2025,8
ELE,MS,Electrical Engineering (MS),2024,43
ELE,MS,Electrical Engineering (MS),2023,8
ELE,MS,Electrical Engineering (MS),2022,15
ELE,MS,Electrical Engineering (MS),2021,19
ELE,MS,Electrical Engineering (MS),2020,14
ELE,MS,Electrical Engineering (MS),2019,18
ELE,MS,Electrical Engineering (MS),2018,13
ELE,MS,Electrical Engineering (MS),2017,16
ELE,MS,Electrical Engineering (MS),2016,41
ELE,MS,Electrical Engineering (MS),2015,30
ENGL,BA,English (MULTBA),2025,2
ENGL,BA,English (BA),2025,32
ENGL,BA,English (BA),2024,40
ENGL,BA,English (BA),2023,43
ENGL,BA,English (BA),2022,40
ENGL,BA,English (MULTBA),2021,1
ENGL,BA,English (BA),2021,46
ENGL,BA,English (MULTBA),2020,3
ENGL,BA,English (BA),2020,56
ENGL,BA,English (MULTBA),2019,1
ENGL,BA,English (BA),2019,62
ENGL,BA,English (BA),2018,66
ENGL,BA,English (BA),2017,76
ENGL,BA,English (BA),2016,65
ENGL,BA,English (BA),2015,86
ENGL,BS,English (BS),2025,7
ENGL,BS,English (BS),2024,9
ENGL,BS,English (BS),2023,4
ENGL,BS,English (MULTBS),2022,1
ENGL,BS,English (BS),2022,2
ENGL,BS,English (BS),2021,1
ENGL,BS,English (BS),2020,1
ENGL,MA,English (MA),2025,15
ENGL,MA,English (MA),2024,15
ENGL,MA,English (MA),2023,10
ENGL,MA,English (MA),2022,13
ENGL,MA,English (MA),2021,7
ENGL,MA,English (MA),2020,17
ENGL,MA,English (MA),2019,14
ENGL,MA,English (MA),2018,22
ENGL,MA,English (MA),2017,18
ENGL,MA,English (MA),2016,16
ENGL,MA,English (MA),2015,22
ENGL,MULTBA,English (MULTBA),2016,3
ENGL,MULTBA,English (MULTBA),2015,1
ENGL,PHD,English (PHD),2025,4
ENGL,PHD,English (PHD),2024,7
ENGL,PHD,English (PHD),2023,2
ENGL,PHD,English (PHD),2022,7
ENGL,PHD,English (PHD),2021,3
ENGL,PHD,English (PHD),2020,8
ENGL,PHD,English (PHD),2019,3
ENGL,PHD,English (PHD),2018,4
ENGL,PHD,English (PHD),2017,10
ENGL,PHD,English (PHD),2016,6
ENGL,PHD,English (PHD),2015,8
ENVS,BA,Environmental Studies - Environmental Policy and Law (BA),2025,2
ENVS,BA,Environmental Studies - Environmental Justice (BA),2025,6
ENVS,BA,Environmental Studies (BA),2024,4
ENVS,BA,Environmental Studies (BA),2023,13
ENVS,BA,Environmental Studies (BA),2022,9
ENVS,BA,Environmental Studies (MULTBA),2021,1
ENVS,BA,Environmental Studies (BA),2021,2
ENVS,BA,Environmental Studies (BA),2020,4
ENVS,BA,Environmental Studies (BA),2019,9
ENVS,BA,Environmental Studies (BA),2018,2
ENVS,BA,Environmental Studies (BA),2017,8
ENVS,BA,Environmental Studies (BA),2016,2
ENVS,BA,Environmental Studies (BA),2015,1
ENVS,BS,Environmental Studies - Water Science (BS),2025,1
ENVS,BS,Environmental Studies - Sustainable Food Systems (BS),2025,1
ENVS,BS,Environmental Studies - Sustainability and Energy Studies (BS),2025,2
ENVS,BS,Environmental Studies - Environmental Policy and Law (BS),2025,2
ENVS,BS,Environmental Studies - Biodiversity and Environmental Restoration (BS),2025,14
ENVS,BS,Environmental Studies (BS),2024,23
ENVS,BS,Environmental Studies (MULTBS),2023,2
ENVS,BS,Environmental Studies (BS),2023,21
ENVS,BS,Environmental Studies (BS),2022,26
ENVS,BS,Environmental Studies (BS),2021,28
ENVS,BS,Environmental Studies (MULTBS),2020,1
ENVS,BS,Environmental Studies (BS),2020,29
ENVS,BS,Environmental Studies (BS),2019,21
ENVS,BS,Environmental Studies (BS),2018,31
ENVS,BS,Environmental Studies (BS),2017,29
ENVS,BS,Environmental Studies (BS),2016,28
ENVS,BS,Environmental Studies (BS),2015,22
ENVS,MULTBS,Environmental Studies (MULTBS),2016,2
ETRA,BS,"Applied Management-Instructional Technology, Training, and Evaluation (BS)",2022,7
ETRA,BS,"Applied Management-Instructional Technology, Training, and Evaluation (BS)",2021,3
ETRA,BS,"Applied Management-Instructional Technology, Training, and Evaluation (BS)",2020,6
ETRA,BS,"Applied Management-Instructional Technology, Training, and Evaluation (BS)",2019,5
ETRA,BS,"Applied Management-Instructional Technology, Training, and Evaluation (BS)",2018,2
ETRA,EDD,Instructional Technology (EDD),2020,1
ETRA,EDD,Instructional Technology (EDD),2019,1
ETRA,EDD,Instructional Technology (EDD),2018,1
ETRA,EDD,Instructional Technology (EDD),2016,3
ETRA,EDD,Instructional Technology (EDD),2015,5
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2025,2
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2024,4
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2023,4
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2022,7
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2021,12
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2020,13
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2019,4
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2018,6
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2017,8
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2016,3
ETRA,MS,"Educational Research, Evaluation, and Assessment (MS)",2015,1
ETRA,MSED,Instructional Technology (MSED),2025,16
ETRA,MSED,Instructional Technology (MSED),2024,20
ETRA,MSED,Instructional Technology (MSED),2023,24
ETRA,MSED,Instructional Technology (MSED),2022,30
ETRA,MSED,Instructional Technology (MSED),2021,29
ETRA,MSED,Instructional Technology (MSED),2020,40
ETRA,MSED,Instructional Technology (MSED),2019,32
ETRA,MSED,Instructional Technology (MSED),2018,33
ETRA,MSED,Instructional Technology (MSED),2017,45
ETRA,MSED,Instructional Technology (MSED),2016,35
ETRA,MSED,Instructional Technology (MSED),2015,39
ETRA,PHD,Instructional Technology (PHD),2025,5
ETRA,PHD,Instructional Technology (PHD),2024,6
ETRA,PHD,Instructional Technology (PHD),2023,5
ETRA,PHD,Instructional Technology (PHD),2022,3
ETRA,PHD,Instructional Technology (PHD),2021,10
ETRA,PHD,Instructional Technology (PHD),2020,6
ETRA,PHD,Instructional Technology (PHD),2019,11
ETRA,PHD,Instructional Technology (PHD),2018,9
ETRA,PHD,Instructional Technology (PHD),2017,12
ETRA,PHD,Instructional Technology (PHD),2016,7
FACS,BS,Human Development & Family Sciences: Family Social Services (BS),2022,31
FACS,BS,Human Development & Family Sciences: Child Development (BS),2022,19
FACS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2022,22
FACS,BS,Hospitality and Tourism Management (BS),2022,19
FACS,BS,Fashion Merchandising (BS),2022,10
FACS,MS,Applied Human Development and Family Sciences (MS),2022,1
FACS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2022,7
FACS,MS,Applied Human Development & Family Sciences: Leadership in Aging Studies (MS),2022,1
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2025,19
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2025,25
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2025,20
FCNS,BS,Fashion Merchandising (BS),2025,5
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2024,20
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2024,18
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2024,18
FCNS,BS,Hospitality and Tourism Management (BS),2024,8
FCNS,BS,Fashion Merchandising (BS),2024,8
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2023,31
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2023,11
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2023,21
FCNS,BS,Hospitality and Tourism Management (BS),2023,16
FCNS,BS,Fashion Merchandising (BS),2023,18
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2021,33
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2021,25
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2021,21
FCNS,BS,Hospitality and Tourism Management (BS),2021,27
FCNS,BS,Fashion Merchandising (BS),2021,15
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2020,36
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2020,22
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2020,49
FCNS,BS,Hospitality and Tourism Management (BS),2020,20
FCNS,BS,Fashion Merchandising (BS),2020,14
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2019,35
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2019,30
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2019,59
FCNS,BS,Hospitality Management (BS),2019,1
FCNS,BS,Hospitality and Tourism Management (BS),2019,27
FCNS,BS,Fashion Merchandising (BS),2019,10
FCNS,BS,Human Development & Family Sciences: Family Social Services (MULTBS),2018,1
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2018,30
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2018,25
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2018,58
FCNS,BS,Hospitality and Tourism Management (BS),2018,29
FCNS,BS,Fashion Merchandising (BS),2018,18
FCNS,BS,Early Childhood Education (BS),2018,2
FCNS,BS,"Nutrition, Dietetics, and Wellness (BS)",2017,39
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2017,27
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2017,32
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2017,57
FCNS,BS,Hospitality and Tourism Management (BS),2017,20
FCNS,BS,Fashion Merchandising (BS),2017,9
FCNS,BS,Early Childhood Education (BS),2017,3
FCNS,BS,"Nutrition, Dietetics, and Wellness (BS)",2016,58
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2016,35
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2016,29
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2016,65
FCNS,BS,Hospitality and Tourism Management (BS),2016,29
FCNS,BS,Fashion Merchandising (BS),2016,14
FCNS,BS,Early Childhood Education (BS),2016,4
FCNS,BS,"Nutrition, Dietetics, and Wellness (BS)",2015,40
FCNS,BS,Human Development & Family Sciences: Family Social Services (BS),2015,38
FCNS,BS,Human Development & Family Sciences: Family & Individual Development (BS),2015,1
FCNS,BS,Human Development & Family Sciences: Child Development (BS),2015,44
FCNS,BS,"Human Dev & Family Sci: Family Relations, Prevention and Wellness (BS)",2015,73
FCNS,BS,Hospitality and Tourism Management (BS),2015,29
FCNS,BS,Fashion Merchandising (BS),2015,28
FCNS,BS,Early Childhood Education (BS),2015,2
FCNS,MS,Applied Human Development and Family Sciences (MS),2025,3
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2025,14
FCNS,MS,Applied Human Development and Family Sciences (MS),2024,5
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2024,10
FCNS,MS,Applied Human Development and Family Sciences (MS),2023,2
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2023,12
FCNS,MS,Applied Human Development & Family Sciences: Leadership in Aging Studies (MS),2023,2
FCNS,MS,Applied Human Development and Family Sciences (MS),2021,1
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2021,9
FCNS,MS,Applied Human Development and Family Sciences (MS),2020,2
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2020,15
FCNS,MS,Applied Human Development and Family Sciences (MS),2019,8
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2019,7
FCNS,MS,Applied Human Development and Family Sciences (MS),2018,4
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2018,7
FCNS,MS,Nutrition and Dietetics (MS),2017,13
FCNS,MS,Applied Human Development and Family Sciences (MS),2017,3
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2017,3
FCNS,MS,Nutrition and Dietetics (MS),2016,10
FCNS,MS,Applied Human Development and Family Sciences (MS),2016,7
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2016,11
FCNS,MS,Nutrition and Dietetics (MS),2015,16
FCNS,MS,Applied Human Development and Family Sciences (MS),2015,3
FCNS,MS,Applied Human Development & Family Sciences: Marriage and Family Therapy (MS),2015,10
FINA,BS,Finance (BS),2025,64
FINA,BS,Finance (MULTBS),2024,1
FINA,BS,Finance (BS),2024,47
FINA,BS,Finance (BS),2023,56
FINA,BS,Finance (BS),2022,48
FINA,BS,Finance (MULTBS),2021,1
FINA,BS,Finance (BS),2021,76
FINA,BS,Finance (BS),2020,90
FINA,BS,Finance (BS),2019,78
FINA,BS,Finance (MULTBS),2018,1
FINA,BS,Finance (BS),2018,77
